X1	X2	X3	X4	X5	X6	X7	X8	X9	target
52864.42816166985	8571.876025428799	27850.9972299614	49103.53366995095	27562.900604988958	75773.89690047826	29657.19260599541	43509.00941976679	52004.47201793265	506159.28331624286
50054.83902964241	74239.29228616566	30069.29177334515	63662.923807996216	42727.56343927455	47333.338622169365	46024.100011096445	36419.72528478687	49770.90413358984	777300.2946629288
20835.403007748515	75237.61793012168	23104.95989381955	36683.01835489804	41915.59486532798	72343.34508030595	58593.16381067404	48441.21921964738	54742.49016541465	723172.9630272224
50205.13642681079	56334.171249835446	35434.43233000854	18465.70843421506	79088.66929233148	52314.48692818364	53667.247505895095	50187.71941918422	38652.10159950289	347278.8205701994
52661.69595471017	43847.85349530898	58034.267382982754	46608.88633569503	23844.810716652966	17297.375973638467	64996.71048769643	61977.39703975305	51344.96244643329	844146.2206227451
50913.29100205849	33674.94420022629	63171.88097572731	48258.95996105806	39448.37688333319	75083.48129470705	32124.72723013335	31527.59031227906	33083.53091312905	284670.85763246147
67673.34472806517	34813.3491704192	16956.8501642489	28044.76825154212	66879.05068417058	41082.84848359471	82034.19481268455	41338.27709836927	52834.286214929285	867435.7826354414
50928.97382524116	53988.47829704062	10225.667771697405	50048.60322573229	60205.6805011173	32889.775985657834	38579.70963607434	65054.220128347166	27216.82062040468	397518.8042963671
58062.66502261021	38574.14546798852	23283.68320981452	27617.072766796315	57473.806702637725	68725.13757990312	72725.3699650964	65934.97557615866	67920.43596006109	828275.995519133
65425.94516772379	42108.216477299655	42710.477259283805	49181.08067387451	40396.96123454631	49681.37160136386	33544.03047611823	69187.06190202374	22320.870521067955	368940.0207374534
57458.027217415394	48618.64698949931	30433.079534042463	67016.37057399539	33697.50519381941	50984.21182525587	42165.716118295255	59571.05285557825	55133.72110277188	756158.7191484252
72203.60129967068	70941.24068971866	52016.33983393094	35212.91294632869	42149.63815808304	69114.26590223121	50299.6682998482	91735.35650554496	56053.67106175444	746912.8193613383
78574.8433315587	52927.00698922139	39404.27994729651	54216.1551916102	45148.612032726334	46429.78568476534	63454.27632049739	53823.7518327526	60975.49197539906	963245.496826168
65518.14306172438	29598.457456499	65235.634535123245	66121.35542893458	39525.94325341992	69496.75900487664	45096.65208920085	43194.75579083814	57318.455010203885	602892.6330270094
68779.99113021125	32613.91837156727	59004.36983960943	53902.38300521628	64204.396832245104	48732.32584019713	15314.67706752061	48543.81307052943	66336.78200595372	321099.51065053244
56735.42847417751	59032.035462519074	61827.52691713203	65397.89050684156	51626.92265426236	23564.29438791596	35830.73023969951	49055.17111388817	51428.21765881467	522655.7731303864
78431.22247000241	64200.9672335338	46553.44051121005	61325.6734816283	31467.97875373911	75628.50131439473	74590.29788041349	58066.84793482049	74513.90768333408	1241620.0624904989
62476.23493955243	83683.0843569112	19864.74047673656	80032.47860810484	48739.44511266775	35572.89490196901	30968.18352662664	47894.47961156468	64201.07314665704	864656.9405773418
53424.10507492026	29778.32331651104	87278.87607357789	82160.48068918701	58423.25445558705	37885.03275755952	46946.81428601836	41702.27931972525	69478.22280176848	479210.7292214708
70454.2255977693	73577.30952244812	40465.50636428487	71451.95351684939	52706.59140421987	50872.07915194573	60343.78478776082	52462.558400710695	81721.79166504167	1075395.807250396
49325.59961968319	58705.28562736167	25977.76606870609	59671.74565004685	43902.74452979505	77728.43271303955	69096.29497819488	43058.77581963231	47662.25849636161	851494.036548625
41666.50433156217	57934.81861940316	31360.18413990813	56645.25221999899	57782.206547318776	65134.263878027385	32335.72989263977	89591.18312700647	61823.608628941976	431047.11862358026
33194.607032131265	50288.888488197015	59902.228068304576	72423.92559054084	44419.19264315469	38179.3729882372	60992.422298055135	71885.00600658667	32028.072326693717	447303.36955595337
53264.91778138515	25469.608405802566	41686.75210253664	31703.526038922297	57593.15861575883	55669.97516151576	36095.56751739703	42218.79427374991	33654.21212915208	232326.68326775864
