town_dummy	latitude	longitude	storey	area_sqm	lease_start	lease_rem	resale_price	price_psm	price_psm_yearly	Core_CPI	price_cpi_adj	price_psm_cpi_adj	bala_lease_pct	price_lease_adj_implied	price_psm_lease_adj_implied	price_cpi_lease_adj_implied	price_psm_cpi_lease_adj_implied	year_gni
5	1.35331715	103.7259139	5	105.0	1985	94	88000.0	838.0952381	8.915906788	61.841	142300.4156	1355.242053	95.4	88553.45911949685	843.3662773333333	143195.3867672956	1363.7655879245283	22901
2	1.366633	103.8555221	5	67.0	1979	88	47000.0	701.4925373	7.971506106	61.699	76176.27514	1136.95933	94.0	48000.0	716.4179104340427	77797.04695148936	1161.1499540425532	22901
4	1.33185805	103.9324605	2	59.0	1978	87	35300.0	598.3050847	6.87706994	61.699	57213.24495	969.716016	93.6	36205.1282051282	613.6462407179488	58680.25123076924	994.5805292307692	22901
4	1.34876075	103.9546606	11	133.0	1984	93	148000.0	1112.7819550000004	11.96539736	61.988	238755.8882	1795.157055	95.2	149243.69747899158	1122.1330638655463	240762.24020168063	1810.2424084033607	22901
2	1.28797955	103.8219434	8	59.0	1975	84	45000.0	762.7118644	9.079903148	61.924	72669.72417999999	1231.69024	92.6	46652.267818574524	790.7164036976242	75337.94299438443	1276.914287688985	22901
5	1.3450542	103.7180755	5	105.0	1984	93	88500.0	842.8571429	9.062980031	61.988	142769.5683	1359.710174	95.2	89243.6974789916	849.9399760336134	143969.31257142854	1371.1363099159664	22901
2	1.3624356000000002	103.8510191	5	82.0	1981	90	45000.0	548.7804878	6.0975609760000005	61.841	72767.25797	887.405585	94.6	45665.96194503172	556.9019749344609	73844.15185116281	900.5384372093024	22901
6	1.3609538	103.7470778	11	68.0	1986	95	46900.0	689.7058824	7.26006192	61.915	75749.01074	1113.95604	95.6	47096.23430962343	692.5916810711296	76065.95220753137	1118.6169439330542	22901
5	1.4414999	103.772205	11	67.0	1977	86	38400.0	573.1343284	6.664352655	61.478	62461.36829	932.2592283	93.3	39511.25401929261	589.7202092861736	64268.932002572335	959.2377911768488	22901
5	1.3438561000000002	103.7417138	14	84.0	1983	92	57000.0	678.5714286	7.375776397999999	61.699	92383.99326	1099.809444	95.0	57600.0	685.7142857431579	93356.45634694737	1111.3863855157897	22901
5	1.3438561000000002	103.7417138	5	68.0	1983	92	47000.0	691.1764706	7.512787724	61.988	75821.12667	1115.016569	95.0	47494.73684210528	698.4520123957897	76619.2437928421	1126.7535855157894	22901
4	1.32161045	103.9384021	14	84.0	1977	86	57000.0	678.5714286	7.890365449	61.59	92547.49148	1101.755851	93.3	58649.517684887454	698.2085438971062	95225.71470610931	1133.6394608360126	22901
4	1.3282613	103.9254332	14	84.0	1977	86	50000.0	595.2380952000002	6.9213732000000014	61.478	81329.90663	968.2131741	93.3	51446.945337620586	612.4636349324761	83683.50521414791	996.2322048617364	22901
5	1.3465804	103.7111822	14	59.0	1975	84	23000.0	389.8305085	4.640839387	61.988	37103.9556	628.8806035	92.6	23844.49244060476	404.1439396976242	38466.30386177106	651.9712520086392	22901
5	1.4378015	103.77872159999998	11	60.0	1985	94	31700.0	528.3333333	5.620567376	61.841	51260.49061	854.3415102	95.4	31899.371069182387	531.6561844528302	51582.883632704405	859.714727245283	22901
2	1.378306	103.837256	8	67.0	1980	89	47500.0	708.9552239	7.965789032000001	61.924	76706.93108	1144.879568	94.3	48356.309650053016	721.7359649459172	78089.7707707317	1165.5189663626725	22901
