X1	X2	X3	X4	X5	X6	X7	X8	X9	target
54416.384047414125	65278.99407450637	29648.55500804604	36520.58096223768	54364.2945406322	76552.39532499976	46625.19636234388	58493.57588483084	48338.71898861745	1157264.610090843
50904.19417781471	34487.783285815225	59964.55591289163	58798.94166367126	17434.97245561632	62314.75091121924	37794.2754215443	62453.210018618505	48932.8119407522	1391002.4704727973
68855.28927099984	94957.87406508776	52128.77370392192	38678.46963547686	46948.24920011903	27380.22939304353	39315.225898017685	43592.50712466386	41906.36664871388	633217.022239566
66840.30928907527	61114.54739026127	6079.512497445523	28795.85674559253	13748.61679942468	52103.53698300243	51596.77792129786	53907.2901454657	35200.709156547724	873237.7953452285
63772.0519592073	50228.57494794342	30699.75962006664	60686.66725854488	66022.41790834459	51851.10066073091	31853.9578413349	31375.11133026202	51641.90487242038	1207493.0239460045
64129.7089201162	57946.507774377096	44186.79132253776	41894.139401623856	65266.04659224748	43635.932678064	56014.99114900333	44498.92464553149	79907.44312490587	915580.5073949036
36443.69557806011	47241.63950340101	27299.081064172977	70642.78379380936	46996.44457766238	49136.95819632577	56161.501123640526	64022.673246203856	64574.84757919021	1163793.382694965
21804.874336084067	81158.19033887227	51297.7497149003	53041.99562348272	51963.58594113956	57169.17143598693	49463.92461932063	53724.029823606346	51647.67459869913	849774.526359525
51678.39950959825	58714.40467021691	58710.651201615496	35194.36765919631	952.9449247924684	58514.5998626736	60621.82357623662	52668.17700518145	54125.668730302365	899143.9470745379
33733.18481577928	34938.394282993715	54633.03817978095	55704.46594246577	59455.87116278929	63971.73761685212	64737.80003841843	17983.702533130807	56934.11842578864	914738.5982677904
67397.68328760559	38909.52218224676	49840.56853976732	37676.98446801303	58103.88459438444	39728.76793932996	58574.29254421248	47332.117865792665	35536.69754944749	795115.6226665964
53877.50419900847	59650.47789322808	71787.27486492031	40720.264774495234	51615.701922355416	43399.21213545062	37323.72256718678	40976.598619687	42605.39705330407	855783.2605350275
54819.60764261463	37773.78114069696	59162.829345227	43454.82470631518	52836.18824525331	45889.35154812728	56139.85643609027	55608.414518786696	34649.82294008614	884838.7826969805
70372.96270080705	40852.88264175577	29789.32918132222	31327.988511457217	67835.48803490284	42916.32155429956	32005.09449818232	43269.08423307367	46308.792584774885	967486.8319331382
54262.90169837864	54950.20129459706	36827.358718552925	38247.94710928247	53904.36884134944	32259.11891243501	56226.86665015364	43901.95283599656	62719.224220986725	691261.3484708309
66933.941457597	68118.65591291945	64041.78530738045	39516.335163230026	28563.05380538861	42115.75738254756	44740.04560832946	74521.54204507043	83837.56343595099	1085617.7962528502
65192.24996464849	68503.03412880597	59469.52307010491	51712.48350522947	29844.58050298045	71501.4155855063	72135.04549003953	46205.10330883771	44271.79841141776	1051422.5022739507
49409.61707839201	54510.41754756072	67060.09305844255	47120.07757098036	35137.139454724194	40829.45456665054	56254.14469550904	69032.52283261968	54335.77654373465	907984.8301347106
37287.270016986666	57289.07880533349	70668.17671485001	72366.43178980697	57139.780559118655	56241.96166194591	24786.12254321534	41605.66487795527	37839.92553116569	1242953.491605826
