X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	target
0.9883821961548496	0.4658122537446474	0.05917959298945495	0.2630120474931699	0.4366344097390933	0.157745721521974	0.947617561197719	0.7670820489199554	0.2690189132273449	0.591213728984398	980518.2775780557	663126.6994358611	361856.55709575245	154636.6086086382	964233.8795893033	23846.498254418224	684573.694907012	881336.096730874	34908.88498737977	727923.1154495961	0.0	0.0	0.0	0.0	0.0	1.0	7.0	140624.84996286832
0.03976065527415858	0.1875857557028982	0.8314145592848525	0.7670015879819974	0.35129204876568976	0.37743381714643826	0.5340208791200258	0.0012407636804494149	0.24200309170198983	0.20902357679960623	220872.16992881542	278900.631087222	622938.3876274818	747892.239443774	754414.3381055052	18549.62211944288	655331.9542114706	634429.510573432	522478.13507097843	385416.47578972153	0.0	0.0	0.0	0.0	0.0	4.0	2.0	113958.00524628184
0.7741057760744262	0.6023215075841164	0.8926307666648913	0.4439366343648085	0.6074824891400352	0.6316762455388967	0.5921054651440192	0.7029311393124308	0.23819603490643146	0.5128514137682448	500838.9061909246	123943.32126224981	96471.921385224	783641.7361170106	164407.44683763172	180371.74719113915	832613.89410319	616018.2382175849	608668.4520724327	484552.3136497066	0.0	0.0	0.0	0.0	0.0	6.0	4.0	95405.3186549379
0.2954968923235018	0.8021443294660335	0.6970168867526753	0.9374022235615753	0.16627619837885885	0.6495400953518566	0.2449952286200878	0.90367940231634	0.10039991484235906	0.6565056446384323	745539.3512178197	501211.1847794635	80311.65817559468	534680.7134235869	33888.369894542266	354925.2637863419	483250.21769419743	648226.8277428612	511144.71974546346	160427.34244169717	0.0	0.0	0.0	0.0	0.0	7.0	8.0	81616.82869470018
0.9721238972190986	0.6179397558964088	0.9814343061118302	0.3384182311450969	0.7033286682741574	0.2233810329046965	0.26193897110263903	0.5123902191483544	0.32029850738256316	0.16845394227674387	603325.7799199678	734710.3846092123	658523.6886711768	733548.3021064654	764658.8677320791	593260.0152589647	371981.4525986791	250710.7282191792	903874.2042862592	970225.596191838	0.0	0.0	0.0	0.0	0.0	8.0	4.0	187373.8517177248
0.40234346021955353	0.07183701440950989	0.7677391886999687	0.07218143263604361	0.9221983155252568	0.051923061755869714	0.47984595249374395	0.7233113964199449	0.3938532183272457	0.21801624111784226	131786.42012354638	930013.7906822506	494722.85368963174	402543.9063148466	582014.1406267319	115493.72821675836	316111.7811807391	641497.3460271853	109121.71689358368	143890.33137523508	0.0	0.0	0.0	0.0	0.0	1.0	10.0	74399.32523638644
0.6142320990627166	0.08862992407824435	0.3921455625020276	0.713608407771771	0.6597638236030664	0.6250759687372014	0.28325832279878116	0.3786469244849676	0.1038431985555859	0.7193037976131674	148675.28326572807	189382.6295174136	849683.7395446993	171091.5024173792	669255.1896781783	424342.76630011416	968554.3191099444	75443.31826935516	832084.9773704542	496534.7387915953	0.0	0.0	0.0	0.0	0.0	9.0	1.0	114499.35364361548
0.43388617074266395	0.5478303757462465	0.06300806657180262	0.09076806008204678	0.8295959787821457	0.06061198402681416	0.17022972650697468	0.7960368262914911	0.0021448046776280307	0.28312192451701845	929859.7728231251	441314.7275775441	684820.6594043927	992533.8434151264	415647.7673045861	121915.23216354214	869101.2444708068	481720.2672580718	987099.760508676	555383.9318007595	0.0	0.0	0.0	0.0	0.0	10.0	12.0	184205.51209857396
0.32740196189691867	0.07124627612503628	0.8898205632023729	0.19955372469140967	0.7571432352933101	0.35020223641514264	0.47492292162085353	0.2919697784217656	0.6967448298362625	0.8447018728554327	387363.41943858174	241090.47653562803	911244.5065269627	541323.8852139405	208472.49829148932	674202.2209312693	805046.8377935629	760948.4179226559	603542.0369298981	524425.4179874161	0.0	0.0	0.0	0.0	2209.00252223084	3.0	5.0	240469.24115043742
0.5602769660507362	0.41641821621776165	0.8884168471443508	0.4830168754908804	0.823704847605266	0.840336121525181	0.8245080053975131	0.7224664238631988	0.8550228390907743	0.3878423500433463	551753.5320750357	326544.21520324016	831547.2466410359	749080.7318973489	773711.0349458818	147289.57477355094	404647.63159723766	541978.1735177248	133411.388970221	374936.796119757	0.0	0.0	0.0	0.0	0.0	6.0	9.0	113417.89648499322
